weekly_study_time_band,past_class_failures,school_absences,family_educational_support,plans_higher_education,final_grade
1,0,3,no,yes,13
2,0,2,yes,yes,15
2,0,0,no,yes,11
2,0,4,yes,yes,11
3,1,0,yes,yes,8
3,1,3,yes,yes,8
2,0,0,yes,yes,9
2,0,0,yes,yes,15
1,0,4,yes,yes,11
4,0,0,yes,yes,13
3,0,2,yes,yes,10
2,0,1,yes,yes,11
1,0,0,no,yes,14
2,0,0,yes,yes,14
3,0,2,yes,yes,12
1,0,6,no,yes,11
2,1,9,yes,yes,8
1,0,0,yes,yes,11
2,0,1,yes,yes,14
1,0,1,no,yes,13
2,0,0,yes,yes,13
2,0,4,yes,yes,12
2,1,2,yes,yes,12
1,0,0,yes,yes,16
1,0,4,yes,yes,10
1,0,2,yes,yes,11
3,0,0,yes,yes,14
1,0,2,yes,yes,8
1,0,11,yes,yes,11
2,3,0,yes,yes,8
1,0,4,yes,no,10
1,1,0,no,no,10
1,0,2,yes,no,11
1,0,0,yes,no,9
2,0,1,yes,no,11
1,0,6,yes,no,8
2,0,0,yes,yes,11
1,1,1,yes,yes,10
3,2,6,yes,no,10
3,1,6,no,no,9
1,1,0,no,no,10
1,1,4,no,no,10
2,1,12,yes,yes,9
2,0,2,no,yes,10
1,0,5,no,yes,10
2,0,0,no,no,9
1,0,0,no,no,13
1,0,2,yes,yes,14
4,1,0,yes,yes,10
2,0,0,yes,yes,14
1,0,0,yes,yes,16
1,1,12,yes,no,7
1,0,8,no,yes,13
4,1,2,yes,yes,9
4,0,0,yes,yes,14
3,0,0,no,yes,13
1,0,0,yes,yes,11
2,1,8,no,yes,10
3,0,0,yes,yes,10
1,1,0,yes,yes,9
2,0,0,yes,yes,18
2,0,0,yes,yes,17
2,0,1,no,yes,10
2,1,9,yes,yes,7
1,0,0,no,yes,8
1,0,2,no,yes,7
2,0,8,no,yes,10
2,0,0,no,yes,16
1,0,0,no,yes,15
2,1,8,yes,yes,8
2,0,0,no,yes,0
2,0,6,yes,yes,8
2,0,0,yes,yes,10
2,0,4,yes,yes,8
4,0,2,yes,no,6
2,0,2,yes,yes,8
3,0,0,yes,yes,16
1,0,1,no,yes,14
3,0,0,no,yes,10
1,0,5,yes,yes,9
1,0,1,yes,yes,11
1,0,8,yes,yes,9
2,0,0,no,yes,10
2,0,2,no,yes,8
2,0,0,no,yes,16
1,0,0,yes,yes,12
2,0,11,yes,yes,10
4,0,8,yes,yes,14
1,0,11,no,yes,12
3,0,2,yes,yes,11
2,0,8,yes,yes,10
1,0,5,no,yes,11
2,0,0,no,yes,11
3,0,1,yes,yes,12
1,3,2,no,yes,8
1,0,2,no,yes,12
2,1,8,yes,yes,8
2,0,0,yes,yes,16
1,0,0,no,yes,11
2,0,2,no,yes,11
2,0,0,yes,yes,18
2,0,0,yes,yes,13
2,0,0,yes,yes,13
2,2,2,yes,no,10
1,0,4,no,yes,12
1,0,3,yes,no,10
3,0,5,yes,yes,13
1,0,4,no,yes,11
2,3,2,yes,yes,10
1,0,0,no,no,10
1,1,0,yes,yes,13
1,0,0,yes,yes,10
2,0,6,yes,yes,10
2,0,0,no,yes,12
1,1,0,no,yes,0
1,0,2,no,yes,10
1,0,0,no,yes,9
1,1,2,yes,no,9
1,1,0,no,no,0
1,3,4,no,yes,9
2,2,9,yes,no,8
1,0,6,yes,yes,8
1,3,4,no,no,9
2,2,8,yes,yes,7
1,0,9,yes,yes,10
1,1,12,yes,no,10
1,0,8,yes,yes,10
1,0,8,yes,yes,11
2,1,8,no,yes,11
2,1,4,yes,yes,10
1,0,0,no,no,9
1,1,4,yes,yes,10
2,2,2,yes,yes,8
1,0,0,yes,no,7
1,1,0,no,no,0
1,0,0,yes,yes,11
3,0,5,yes,no,8
2,0,0,yes,yes,0
2,1,3,yes,yes,8
1,0,0,yes,yes,9
1,0,0,no,yes,10
2,2,3,no,yes,7
2,0,2,no,yes,14
1,0,0,yes,yes,13
2,0,0,no,yes,14
2,0,0,no,yes,18
1,0,3,yes,yes,17
2,0,0,yes,yes,18
2,1,0,no,yes,0
1,0,8,yes,yes,11
1,0,5,yes,yes,14
1,0,4,no,no,14
2,0,4,yes,yes,10
3,0,0,no,yes,13
2,0,0,no,yes,0
2,1,2,no,no,10
1,1,0,no,no,0
4,0,0,no,yes,18
2,0,5,no,yes,12
2,0,2,no,yes,11
2,0,0,yes,no,12
2,3,0,yes,no,0
3,0,5,no,yes,15
2,1,4,yes,yes,11
2,0,0,yes,yes,10
2,0,2,yes,yes,12
2,0,0,no,yes,15
1,0,2,no,yes,14
3,0,0,no,yes,18
2,0,0,no,yes,15
2,0,6,yes,yes,13
2,0,4,yes,yes,15
2,0,0,no,yes,13
2,0,0,yes,yes,9
3,0,0,no,yes,16
1,1,0,yes,yes,9
1,0,0,yes,yes,10
2,0,0,yes,yes,0
1,0,3,yes,no,10
3,0,8,no,yes,12
1,0,4,no,yes,9
3,0,0,no,yes,17
3,0,4,no,yes,12
2,1,4,yes,yes,9
2,0,1,no,yes,14
2,0,1,no,yes,16
2,0,10,yes,yes,9
2,0,4,no,yes,19
1,0,0,no,yes,0
2,0,4,no,yes,16
1,1,0,no,yes,0
1,1,0,no,yes,0
3,0,0,no,yes,15
2,0,0,no,yes,11
1,0,4,yes,yes,10
3,1,4,no,yes,10
2,0,4,yes,yes,16
2,0,6,no,yes,9
1,0,6,no,yes,10
1,0,4,no,yes,11
